SbjNum,Dados_Escola_1,Dados_Escola_3,Dados_Escola_5,Dados_Escola_6,Dados_Escola_8,Dados_Escola_9,Dados_Escola_10,Dados_Escola_11,Dados_Escola_12,P1001,P1002,P1003,P1801,P1802,P1803,P1804,P2701,P2702,P2703,P2704,P2705,P2801,P2802,P2803,P2804,P2901,P2902,P2903,P3001,P3002,P3003,P3004,P3005,P34,Sexo
32422814,7,Norte,2 - Estadual,35001036,SEBASTIAO DE SOUZA BUENO PROF,R FRANCISCO DE MEDEIROS JORDAO,579,,VILA MEDEIROS,0,9,0,3,0,0,3,3,3,3,3,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0
32422081,7,Norte,2 - Estadual,35001036,SEBASTIAO DE SOUZA BUENO PROF,R FRANCISCO DE MEDEIROS JORDAO,579,,VILA MEDEIROS,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,2,1,0,0,0,0,0,3,1
32423700,7,Norte,2 - Estadual,35001036,SEBASTIAO DE SOUZA BUENO PROF,R FRANCISCO DE MEDEIROS JORDAO,579,,VILA MEDEIROS,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36814865,1385,Sul 1,4 - Privada,35138903,NOVA LOURENCO CASTANHO II ESCOLA,R BUENO BRANDAO,283,,VILA NOVA CONCEICAO,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
32576304,43,Leste 2,2 - Estadual,35909075,WILFREDO PINHEIRO PROF,R GALAXIA,321,,CIDADE SATELITE SANTA BARBARA,1,0,0,2,0,0,0,2,3,3,3,3,0,2,0,2,2,0,0,0,0,0,0,0,5,0
32606691,43,Leste 2,2 - Estadual,35909075,WILFREDO PINHEIRO PROF,R GALAXIA,321,,CIDADE SATELITE SANTA BARBARA,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,1
32543222,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,1,0,0,3,0,0,0,3,2,3,3,3,3,2,0,3,3,3,0,0,1,1,1,0,4,1
33141120,13,Norte,4 - Privada,35100043,ESTRELA SIRIUS COLEGIO,RUA TATSUO OKACHI,209,,CHACARA INGLESA,1,0,1,1,0,0,0,1,3,0,1,3,0,1,0,1,3,3,0,1,3,0,0,0,1,1
32544681,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,0,0,0,2,0,0,0,2,2,3,3,3,2,0,0,0,2,0,0,2,2,0,0,0,3,1
32541625,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,1,1,0,0,0,0,1,0,2,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,99,0
32543561,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,8,8,8,0,0,0,0,0,2,0,1,2,0,0,0,1,3,1,0,0,0,0,0,0,3,0
32544706,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,1,0,0,2,0,0,0,0,0,3,1,0,0,2,0,2,3,2,0,0,1,0,0,0,3,0
